,x_pos,y_pos,x_val,y_val,id
305,3,1,14.0,0.9419961732680703,8
306,3,1,15.0,0.9242849663531268,8
307,3,1,16.0,0.9033027289855644,8
308,3,1,17.0,0.8791103882510054,8
309,3,1,18.0,0.8519631001655699,8
310,3,1,19.0,0.8223149578105335,8
311,3,1,20.0,0.7908018667969535,8
312,3,1,21.0,0.7582026620496747,8
313,3,1,22.0,0.7253821391964175,8
314,3,1,23.0,0.6932228476090794,8
315,3,1,24.0,0.6625545309834919,8
316,3,1,25.0,0.634090533872631,8
317,3,1,26.0,0.6083792174611564,8
318,3,1,27.0,0.5857757425516181,8
319,3,1,28.0,0.5664360944283154,8
320,3,1,29.0,0.5503317008385573,8
321,3,1,30.0,0.5372801349276812,8
322,3,1,31.0,0.5269856816423535,8
323,3,1,32.0,0.5190831479201159,8
324,3,1,33.0,0.5131790736294582,8
325,3,2,9.0,0.9995923554973677,13
326,3,2,10.0,0.9969999625975436,13
327,3,2,11.0,0.9847638982924366,13
328,3,2,12.0,0.9458534907570384,13
329,3,2,13.0,0.8624425296850862,13
330,3,2,14.0,0.7418587006860962,13
331,3,2,15.0,0.6242738192148962,13
332,3,2,16.0,0.5469337956936463,13
333,3,2,17.0,0.5126295436046603,13
334,3,2,18.0,0.5023731003721198,13
335,3,2,19.0,0.5003072821332963,13
336,3,2,20.0,0.5000271782222246,13
337,3,2,21.0,0.5000016320667786,13
338,3,2,22.0,0.5000000662569393,13
339,3,2,23.0,0.5000000018128209,13
340,3,2,24.0,0.5000000000333509,13
341,3,2,25.0,0.5000000000004118,13
342,3,2,26.0,0.5000000000000033,13
343,3,2,27.0,0.5,13
344,3,2,28.0,0.5,13
345,3,2,29.0,0.5,13
346,3,2,30.0,0.5,13
347,3,2,31.0,0.5,13
348,3,2,32.0,0.5,13
349,3,2,33.0,0.5,13
350,3,2,34.0,0.5,13
351,3,2,35.0,0.5,13
352,3,2,36.0,0.5,13
353,3,2,37.0,0.5,13
354,3,3,4.0,0.9527382367598427,18
355,3,3,5.0,0.8416232477898231,18
356,3,3,6.0,0.6797472363784025,18
357,3,3,7.0,0.557883438307548,18
358,3,3,8.0,0.5105125187013202,18
359,3,3,9.0,0.5010273771195165,18
360,3,3,10.0,0.5000525901370981,18
361,3,3,11.0,0.5000013875012694,18
362,3,3,12.0,0.5000000186782306,18
363,4,0,12.0,0.9846415311563196,4
364,4,0,13.0,0.9796971425166524,4
365,4,0,14.0,0.9735325910311565,4
366,4,0,15.0,0.9659689242869239,4
367,4,0,16.0,0.9568360956834281,4
368,4,0,17.0,0.9459838341333916,4
369,4,0,18.0,0.9332933782797299,4
370,4,0,19.0,0.9186892304239934,4
371,4,0,20.0,0.9021499256609922,4
372,4,0,21.0,0.8837167436894315,4
373,4,0,22.0,0.8634993389892613,4
374,4,0,23.0,0.8416774403704502,4
375,4,0,24.0,0.8184980665770187,4
376,4,0,25.0,0.794268095190485,4
377,4,0,26.0,0.7693424653517388,4
378,4,0,27.0,0.7441087372473251,4
379,4,0,28.0,0.7189691157032647,4
380,4,0,29.0,0.6943213197540896,4
381,4,0,30.0,0.6705398066989575,4
382,4,0,31.0,0.6479588201453964,4
383,4,0,32.0,0.6268585323651953,4
384,4,0,33.0,0.60745521976327,4
385,4,0,34.0,0.5898959918089347,4
386,4,0,35.0,0.5742581438583848,4
387,4,0,36.0,0.5605527794799035,4
388,4,0,37.0,0.5487319972674182,4
389,4,0,38.0,0.5386986955504354,4
390,4,0,39.0,0.53031793266802,4
391,4,0,40.0,0.523428788772567,4
392,4,1,12.0,0.99818399763221,9
393,4,1,13.0,0.994792541542554,9
394,4,1,14.0,0.9868325165261445,9
395,4,1,15.0,0.9705561650416048,9
396,4,1,16.0,0.941561319487322,9
397,4,1,17.0,0.8965614603087078,9
398,4,1,18.0,0.8357154144473777,9
399,4,1,19.0,0.7640371719393788,9
400,4,1,20.0,0.690471074459708,9
401,4,1,21.0,0.624689581633276,9
402,4,1,22.0,0.5734430739367163,9
403,4,1,23.0,0.5386608829077548,9
404,4,1,24.0,0.5180935507959019,9
405,4,1,25.0,0.5074980297137328,9
406,4,1,26.0,0.5027426659270252,9
407,4,1,27.0,0.5008833431453682,9
408,4,1,28.0,0.5002500177746708,9
